subject,nodes_T6W40,lcc_T6W40,lsc_T6W40
CDMS-10-4A-JURAN,0.8439667012529662,0.8793813437417453,1.242831001838445
CDMS-10-5A-HEPIHO,1.342772938491809,1.2194057636380764,1.2283518289341433
CDMS-10-5A-KSRAGU,0.09766593828771819,0.13547660717741886,0.9301101666099293
CDMS-10-5A-SROPU,0.01428954670388285,0.052367898604725974,0.0017804838081497386
CDMS-10-5A-SZURO,0.31949310669292486,0.35659159119488787,0.4130303241373827
CDMS-10-5B-SRAJA,-0.2858976960517367,-0.24685558182536071,0.45427367965375853
CDMS-10-5C-DAAUSA,-0.6340293718798239,-0.5938695679394954,-0.263156948948059
CDMS-10-5C-ICAPA,-2.119180587582033,-2.107381387741319,-2.203438485616513
CDMS-10-5C-JFALGI,-1.286727748322801,-1.244472431930385,-0.6218480929721634
CDMS-10-5C-MAORTO,-1.8840528928999825,-1.8398798418791644,-1.3247260833477883
CDMS-10-5C-NBEMO,-1.0492763486036847,-1.0077833787756783,-0.7929163591466611
CDMS-10-6B-ASCACO,-0.9252150472051934,-0.884120380806896,0.03583415974352435
CDMS-10-6B-JJMOBE,0.3239362644472809,0.3610204840257557,0.6953109818906222
CDMS-11-4A-GACHSA,-1.1265363012547787,-1.0847952854706746,-0.2700976137104498
CDMS-11-5A-EAARCA,-0.7382122759832952,-0.6977179889482894,-0.04868344949004805
CDMS-11-5A-MGTHAR,-1.8932649761125604,-1.8490623493554172,-1.5908651744975917
CDMS-11-6A-DFVEBE,0.12964093682509523,0.12088499759576427,0.16341706762605895
CDMS-11-6A-NMREPR,0.46206022416362474,0.49870099162399467,0.7487471677026999
CDMS-11-6B-ARAHE,-0.4985823789031735,-0.46666484203115655,-0.180173337450742
CDMS-11-6B-AVROTO,1.027393357241895,1.0622191016185563,0.11983700198437489
CDMS-11-6B-EAFESA,0.16753125596755902,0.20511761965220462,0.5243532927422556
CDMS-11-6B-EFRGR,-1.2217534642017465,-1.1797067501689429,-0.7600421757447835
CDMS-11-6B-EROCO,-0.7057122654874713,-0.6749993995040333,-0.2991395356059783
CDMS-11-6B-JACUPE,-2.1248257695046697,-2.1703048684824986,-2.1104506399626017
CDMS-11-6B-JDCHBA,-1.1312019096244397,-1.0894459147308604,-0.9048641740813078
CDMS-11-6B-JFSAHE,1.1878634835882478,1.211756780941785,1.26792372664427
CDMS-11-6B-JLPENA,-0.4678014671755573,-0.7133776923517849,-1.3495903216947567
CDMS-11-6B-JMARME,-0.11674526585967715,-0.11486219473078288,0.04662420439405161
CDMS-11-6B-JPSAMA,1.0548342442890342,1.0828859071270023,0.7782921755887271
CDMS-11-6B-LESTA,-0.731600924811769,-0.6911278637659874,-0.10403063660103674
CDMS-11-6B-MAGIMU,-1.399829470825675,-1.3572110371398642,-0.4805992951708644
CDMS-11-6B-MEBRTA,-1.0307198940317062,-0.9892865003923738,-0.24143757951372172
CDMS-11-6B-MMAMO,0.7447573622995586,0.7804905200668238,0.9284534318423394
CDMS-11-6B-RSECA,-0.5497997499056685,-0.5099103683044354,0.2296032618315297
CDMS-11-6B-SCAPA,0.845463914708206,0.8808737503374123,0.8241018595332323
CDMS-11-6B-VZAPE,-0.813218932637269,-0.7724838339369049,-0.06675460478573994
CDMS-11-6B-YLNIME,0.408487364838383,0.445300129959329,0.7804273727217359
CDMS-11-7C-ICARE,-0.521000758162824,-0.4812038367974099,-0.6446485878015726
CDMS-11-7C-IMOIB,1.1271187398464737,1.161624312167283,0.8714053375194014
CDMS-11-7C-SALMA,0.0015651524809603883,0.03968435652346919,0.31992822428397205
CDMS-11-7C-SPGAVE,-0.05361276516370251,-0.026260725395990007,-1.5438395599864339
CDMS-12-5A-SRIGO,0.7062153853531219,0.742072283573151,0.8225916501724214
CDMS-12-6A-FAROPA,1.0292086248188335,1.0640285412113162,1.5786143009720905
CDMS-12-6A-JGIGA,-1.1346155584106197,-1.0928486038704461,-0.30309545811379096
CDMS-12-6A-JSOTGU,-1.0292600195194166,-0.9878313128615895,-0.5721302130275895
CDMS-12-6A-SROAL,0.7158717723046145,0.7516976683346133,0.8458733890120629
CDMS-12-6B-IJDAGA,-0.9012162790054487,-0.8601986615464658,-0.726911361949808
CDMS-12-6B-SCLAG,-0.534068111302274,-0.4942292367128169,-0.3594877120645426
CDMS-12-7C-ARAHE,-0.7032229713216703,-0.6628410187527128,-0.009869309712835617
CDMS-12-7C-CATRAR,0.3369846963020333,0.3701724218822275,0.5704439397881227
CDMS-12-7C-DLOLO,-0.5488059991773627,-0.5089198080498623,-0.06511893595319489
CDMS-12-7C-JSZAOR,1.4288165617801676,1.4623535220047201,1.6618542987922793
CDMS-12-7C-MAROBE,1.219309011926158,1.2535186039441555,0.9256610645045332
CDMS-12-7C-VMAPA,-0.15914910440809818,-0.12051392125687097,0.2830736957059227
CDMS-12-7C-VQURA,0.3952492020271194,0.27542795878966175,-0.8229371059714065
CDMS-13-6B-ASUMO,0.29784312131944873,0.04783228739026466,-1.6944491213298634
CDMS-13-6B-JDTAHE,0.18256182849813254,0.11140017305710825,-0.593189258353514
CDMS-13-7C-MVEAR,-1.0677379679353831,-1.0357247402733307,-0.3684873102768304
CDMS-13-7C-RAIZAC,0.4164923852669146,0.4532794499715694,1.1261214572204348
CDMS-13-7C-SSOSLO,-0.7253797882962365,-0.8502910557743393,-0.4906090319178602
CDMS-14-10A-IMORTO,-0.1740436426795871,-0.13536064005838344,0.5213720933229216
CDMS-14-10A-JCVANI,1.1375602784025896,1.172032327774893,0.794595033698389
CDMS-14-5A-LSDUCO,-1.2668216640803076,-1.2246302569128995,-0.5846839027359498
CDMS-14-6B-KDCAHE,-0.05786153905580304,-0.12602096004871666,-0.6607593603048533
CDMS-15-10A-AMALOS,0.22472829018644383,0.2621310206620085,0.2972904941714575
CDMS-15-10A-JJMACH,1.3054360938845648,1.3378761591714265,1.1602115838458904
CDMS-15-10A-MAALCA,0.7658985310887416,0.8015638143460521,1.1973720277772928
CDMS-15-10A-MAALRI,0.9393943588475039,0.9745026272866757,0.9582157368707546
CDMS-15-10A-SGOMO,1.3592843741323477,1.3930445700355776,0.868055340687932
CDMS-15-10A-SHEGA,0.6313558753196303,0.6674531127853112,0.7329011179988097
CDMS-15-11B-JEMOLO,0.8659217320174519,0.9012658870620862,0.6386735645524966
CDMS-15-11B-VSAHO,0.18824266020782923,0.22576252915761397,0.439854957002707
CDMS-16-10A-SGALO,0.8923318314179001,0.9275911958545722,0.8600606483814879
CDMS-16-11B-NGABE,1.296606569651877,1.3142968009471037,0.7777347568681633
CDMS-17-10A-ASSAMO,1.8416028293791937,1.8738145239143809,1.9075986990924734
CDMS-18-7C-VVECA,-0.4075053214484665,-0.3680727814105903,-0.028793046737717407
CDMS-8-4A-DBEVA,-1.8996062984483597,-1.8553833126396286,-0.9935081808454057
CDMS-8-4A-DJAVDA,-2.5181128609086185,-2.471904136740315,-2.0348254651791815
CDMS-8-4A-DOSTR,-1.4422922293798606,-1.3995374674258756,-0.8655815134547679
CDMS-8-4A-LGOPA,-1.5508003042464544,-1.6331833252861472,-1.5569482187839396
CDMS-8-4C-JDBUTU,-1.9085523511887106,-1.8643006437443954,-1.3682997223156532
