subject,nodes_T6W40,lcc_T6W40,lsc_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,1.2526754271514489,-2.0241108942669563,0.5307441278552317,2,5.3004720123667735
CDMS-10-5A-HEPIHO,1.9618461180198576,-2.787363860173585,0.5243744730804374,7,5.240020082553759
CDMS-10-5A-KSRAGU,0.19163290571588962,-0.35426760269448054,0.39317247411117007,5,5.771701128759628
CDMS-10-5A-SROPU,0.07309370390291939,-0.16771344776020455,-0.01521684727644263,6,5.431326760493322
CDMS-10-5A-SZURO,0.5070125351730431,-0.8506045052298474,0.16569953008847338,5,5.363270911658718
CDMS-10-5B-SRAJA,-0.3536932495107174,0.5039536312595866,0.18384324162018492,13,5.875266974996103
CDMS-10-5C-DAAUSA,-0.8486445204226847,1.2828960795503506,-0.1317677024068469,8,5.8436472083478685
CDMS-10-5C-ICAPA,-2.9601371904296916,4.680276731653757,-0.9853332780215808,7,6.275969614829535
CDMS-10-5C-JFALGI,-1.7766091768251608,2.743304616442472,-0.28956254147053395,10,6.218296249773827
CDMS-10-5C-MAORTO,-2.6258477264426494,4.079815893205312,-0.5987715119749081,12,6.396360006414803
CDMS-10-5C-NBEMO,-1.4390160181697595,2.212008594018434,-0.3648186217491562,5,5.9493373057265675
CDMS-10-6B-ASCACO,-1.2626336230541302,1.9344222077190165,-0.0002360081805426625,6,6.212715928111393
CDMS-10-6B-JJMOBE,0.5133295316719968,-0.8605460429284431,0.28987998924687086,1,5.483826829617474
CDMS-11-4A-GACHSA,-1.5488592597084605,2.384877255078136,-0.13482102863868403,2,6.24236031835804
CDMS-11-5A-EAARCA,-0.9967650862133614,1.516004676173641,-0.03741686075872319,8,6.0229860808286055
CDMS-11-5A-MGTHAR,-2.6389448750516253,4.10042787180334,-0.7158509987595526,9,6.286795349619211
CDMS-11-6A-DFVEBE,0.23709290623390686,-0.3215138102052676,0.05589006226196838,1,5.5126325099176565
CDMS-11-6A-NMREPR,0.7097053117338986,-1.1695975393001596,0.31338755133997737,8,5.394658675400766
CDMS-11-6B-ARAHE,-0.6560746798428729,0.9973595749767065,-0.09526168367931816,5,5.787186563081565
CDMS-11-6B-AVROTO,1.5134596728966843,-2.434526890334949,0.03671838891880847,8,4.6568145231075935
CDMS-11-6B-EAFESA,0.2909629298972619,-0.5105908142341887,0.21467255383816858,0,5.536208021128291
CDMS-11-6B-EFRGR,-1.684232910213352,2.597925061913839,-0.3503566631374854,3,6.10449884019005
CDMS-11-6B-EROCO,-0.9505586573921478,1.4650082483881597,-0.14759710484785055,6,5.908015837775211
CDMS-11-6B-JACUPE,-2.9681631477359094,4.8215210967364674,-0.944426212474259,9,6.450095088153349
CDMS-11-6B-JDCHBA,-1.5554925222136557,2.395316524637808,-0.41406652690501056,3,5.966920827146191
CDMS-11-6B-JFSAHE,1.7416057983235258,-2.7701941853281937,0.5417828795455675,3,5.054357844167948
CDMS-11-6B-JLPENA,-0.6123123553052575,1.5511560193377003,-0.6097097482647267,4,5.870297267394765
CDMS-11-6B-JMARME,-0.11320318177338506,0.20766801680073732,0.004510731145158474,5,5.64013891779956
CDMS-11-6B-JPSAMA,1.5524733647321847,-2.4809176778111723,0.3263849443400057,0,4.939103982888067
CDMS-11-6B-LESTA,-0.9873654914852789,1.5012118192587716,-0.06176510751169943,8,5.993244571888843
CDMS-11-6B-MAGIMU,-1.937409946137442,2.9963690134776804,-0.2274245944140617,9,6.372697824553225
CDMS-11-6B-MEBRTA,-1.412633642155931,2.170488642920876,-0.12221295186016014,8,6.176805400531833
