feature,selected,ranking
lcc_T6W40,True,1
lsc_T6W40,True,1
nodes_T6W40,True,1
density_T6W40,False,2
pe_T6W40,False,3
diameter_T6W40,False,4
l1_T6W40,False,5
atd_T6W40,False,6
edges_T6W40,False,7
re_T6W40,False,8
l2_T6W40,False,9
l3_T6W40,False,10
asp_T6W40,False,11
