subject,re_T2W40,lsc_T2W40
CDMS-10-4A-JURAN,0.08876252647513069,0.5053635775882472
CDMS-10-5A-HEPIHO,-0.05743927774522869,0.172328752295246
CDMS-10-5A-KSRAGU,0.30773562560101914,0.22798471464969042
CDMS-10-5A-SROPU,0.37025995637911663,0.6263378499177643
CDMS-10-5A-SZURO,-0.5666621780822014,0.4384857744877538
CDMS-10-5B-SRAJA,0.9839937105350217,0.1296381315035358
CDMS-10-5C-DAAUSA,0.15049146444271067,0.4899889522015557
CDMS-10-5C-ICAPA,2.383119707756425,-0.49900919854235565
CDMS-10-5C-JFALGI,-0.9575858048769985,1.2437411827500853
CDMS-10-5C-NBEMO,-1.2373623402365563,-0.3384835239213793
CDMS-10-6B-ASCACO,0.4748881099028598,-0.30776384954846114
CDMS-10-6B-JJMOBE,0.9435857394961366,0.21068325767669882
CDMS-11-5A-EAARCA,-0.285002669426287,0.42424811718706246
CDMS-11-5A-MGTHAR,-0.8592363481359024,0.245286171622682
CDMS-11-6A-DFVEBE,-0.14413535047994416,-0.19044726105581056
CDMS-11-6A-NMREPR,0.05838263975979634,-0.04451323267492512
CDMS-11-6B-ARAHE,1.6457930832704126,-0.02046929614628279
CDMS-11-6B-AVROTO,-0.4806611423755472,0.5251716879645263
CDMS-11-6B-EAFESA,-0.21842719171338096,0.27595251811132676
CDMS-11-6B-EFRGR,0.49821962391537916,0.2719670869275002
CDMS-11-6B-EROCO,-0.2940989772067014,0.8618546029007509
CDMS-11-6B-JACUPE,1.1220344704222727,-1.2847732644476353
CDMS-11-6B-JDCHBA,0.5029527658319762,-0.454739883534539
CDMS-11-6B-JFSAHE,0.030273757719513177,0.632635646769902
CDMS-11-6B-JLPENA,-0.4555402577252667,-2.6149441143065744
CDMS-11-6B-JMARME,-0.30902280548503386,0.4610921311178597
CDMS-11-6B-JPSAMA,-1.6026776577736215,1.0269756095829778
CDMS-11-6B-LESTA,-0.06476317146555166,-0.7264647198974915
CDMS-11-6B-MEBRTA,0.45013840008935296,-0.7805960110209105
CDMS-11-6B-MMAMO,0.017632761431947756,0.5012228312565736
CDMS-11-6B-RSECA,-0.8756643095560303,1.0615926587062257
CDMS-11-6B-SCAPA,-0.7443384036796528,0.8337901418951718
CDMS-11-6B-VZAPE,-1.1951504419191494,0.5310305469422443
CDMS-11-6B-YLNIME,-0.9606398957113328,0.9763528280694099
CDMS-11-7C-ICARE,0.8122598336197591,0.049323141602202115
