subject,re_T2W40,lsc_T2W40,y_true,y_pred
CDMS-10-4A-JURAN,-0.318629705643657,-3.2993576243891396,6,10.898269836224381
CDMS-10-5A-HEPIHO,1.5695792564624438,3.8728927608590453,25,19.958729183578658
CDMS-10-5A-KSRAGU,0.7120670607019474,1.9876222855009498,19,17.215946512460082
CDMS-10-5A-SROPU,0.7678882062444342,-0.295661238790201,19,14.988484133711408
CDMS-10-5A-SZURO,3.2049879415030915,-0.9485154300306121,12,16.772729677729682
CDMS-10-5B-SRAJA,2.0189282271005666,3.789261484443362,30,20.3244468778011
CDMS-10-5C-DAAUSA,1.1996833062767356,-2.220977909844065,18,13.49496256268983
CDMS-10-5C-ICAPA,1.9039659078132618,-2.345487817744264,16,14.074735256326157
CDMS-10-5C-JFALGI,2.259290569634233,0.9996195210940304,19,17.77516725698544
CDMS-10-5C-NBEMO,1.9220280964041532,0.0104961663473853,22,16.44878142900871
CDMS-10-6B-ASCACO,1.3156802303331017,1.239345407058845,14,17.071282803649126
CDMS-10-6B-JJMOBE,0.550527412000727,1.9910459044638884,13,17.05783048272179
CDMS-11-5A-EAARCA,-1.1704252975401526,1.4686424868936985,26,14.814474355610724
CDMS-11-5A-MGTHAR,-1.9909881138200185,1.8080093862958422,16,14.333278438732973
CDMS-11-6A-DFVEBE,-2.6159136819523225,2.086649586993032,7,13.986993071297888
CDMS-11-6A-NMREPR,1.181079074955046,3.14139390100377,23,18.838730142215987
CDMS-11-6B-ARAHE,1.3729943617270333,2.932104044967224,13,18.821355572951425
CDMS-11-6B-AVROTO,1.7524977480015762,-2.550351398582493,15,13.718403515676243
CDMS-11-6B-EAFESA,-4.570587191526086,1.3934332873267246,2,11.339103262057812
CDMS-11-6B-EFRGR,-0.364119705321667,1.965417632090368,10,16.11755509302588
CDMS-11-6B-EROCO,-1.5875215714107342,-2.501975477859048,13,10.42676011698738
CDMS-11-6B-JACUPE,0.6288466854527056,2.528116269919337,22,17.67322012162922
CDMS-11-6B-JDCHBA,-0.1654974207578814,-2.3613832381682327,13,11.989376507331055
CDMS-11-6B-JFSAHE,-0.3374808734168415,-0.9124640360735319,12,13.266312256766799
CDMS-11-6B-JLPENA,-0.21524175857884978,-0.05875383087128482,7,14.242261576807028
CDMS-11-6B-JMARME,-2.0069251401005475,-2.7058139280930624,8,9.803518098063547
CDMS-11-6B-JPSAMA,-0.0746506036489684,-4.755162375482175,0,9.686444187126005
CDMS-11-6B-LESTA,0.23365009587549032,-1.093507088232491,21,13.656400173900172
CDMS-11-6B-MEBRTA,0.5585601606156484,-1.1649632079277898,17,13.90985411894503
CDMS-11-6B-MMAMO,-1.09410434847201,-3.36922755281445,9,10.052925264970721
CDMS-11-6B-RSECA,-2.729756790849665,-4.129392298299432,1,7.6571080771080755
CDMS-11-6B-SCAPA,-2.0038848252677446,-2.9679300829108075,10,9.544442258078625
CDMS-11-6B-VZAPE,2.374533571696287,-1.6882055790046557,21,15.202585158948795
CDMS-11-6B-YLNIME,0.7708393029321995,-4.865146491557546,8,10.4219499776318
CDMS-11-7C-ICARE,0.6280805408600909,2.7581200190155246,17,17.90245772613281
CDMS-11-7C-SALMA,0.32720955386589917,3.7251692702224006,18,18.56863599034548
CDMS-11-7C-SPGAVE,2.423954804672165,-1.3006523386424274,8,15.639559632286915
CDMS-12-5A-SRIGO,1.7773239859025705,3.78509152698373,15,20.07867267914347
CDMS-12-6A-FAROPA,3.5571982810157547,1.6903193133199979,23,19.763774760592945
CDMS-12-6A-JGIGA,0.06101832123489872,-2.984741640867321,1,11.59253384662475
CDMS-12-6A-SROAL,0.8608567870756862,3.657186460725157,24,19.034300414058027
CDMS-12-6B-IJDAGA,0.9609869980731339,4.035640266720833,25,19.512884431051145
CDMS-12-6B-SCLAG,1.2768022828972232,3.6395677493551744,31,19.43262719850956
CDMS-12-7C-CATRAR,0.9779584930103532,0.46287406918583873,12,15.957089728453356
CDMS-12-7C-DLOLO,1.0380705713349234,3.6308870899722003,19,19.185214827564295
CDMS-12-7C-JSZAOR,-0.78644819720467,-2.6580865836937475,10,11.07172238535876
CDMS-12-7C-MAROBE,-1.13161035495057,-3.70185886692776,9,9.682787944378854
CDMS-12-7C-VMAPA,-0.31278865266115485,-1.750172617572848,12,12.45329589602316
CDMS-12-7C-VQURA,-0.031620720959620464,-3.2850938834822694,13,11.19954256181529
CDMS-13-6B-JDTAHE,0.31975754509350873,2.326993946657986,21,17.163008658008668
CDMS-13-7C-MVEAR,0.988536351374632,3.5615451689341486,27,19.06633868656597
CDMS-13-7C-RAIZAC,-2.498512206645714,-5.990854207266151,5,6.026890752345303
CDMS-13-7C-SSOSLO,3.265112118510671,3.74485341509123,23,21.526222699859073
CDMS-14-10A-IMORTO,-1.5877148521764433,-0.7871235812983539,11,12.141418732782377
CDMS-14-10A-JCVANI,2.844623604622967,3.114531786032612,22,20.47541255691274
CDMS-14-6B-KDCAHE,1.0674886807249562,1.2515450153541756,22,16.83529086233631
CDMS-15-10A-AMALOS,3.478429096944733,0.11372646884718784,16,18.108412732049107
