feature,mean_coef,std_coef,frac_nonzero
pe_T2W20,0.632829809420835,0.6295111915835766,1.0
l2_T2W20,0.45756949582109363,0.4751508810636915,1.0
l3_T2W20,-0.31986827193733847,0.42225465517109745,1.0
diameter_T2W20,-0.24163455055919858,0.27317736778248575,1.0
lcc_T2W20,0.16635408845934915,0.3175291834703582,1.0
lsc_T2W20,0.1178515644405965,0.18559239945603537,1.0
edges_T2W20,0.10416210939952367,0.17890135889469738,1.0
asp_T2W20,-0.05588048648653807,0.0800526389540869,1.0
re_T2W20,-0.04602210624987951,0.23409558631076105,1.0
nodes_T2W20,-0.025577799199918122,0.2038322213643901,1.0
l1_T2W20,-0.011362028718753968,0.2861542362708122,1.0
atd_T2W20,-0.005644712275953772,0.048943583756615255,1.0
density_T2W20,-0.004659755624283094,0.007554664650711629,1.0
