feature,selected,ranking
lcc_T6W50,True,1
lsc_T6W50,True,1
asp_T6W50,False,2
density_T6W50,False,3
diameter_T6W50,False,3
atd_T6W50,False,4
l3_T6W50,False,4
l1_T6W50,False,5
l2_T6W50,False,5
pe_T6W50,False,6
re_T6W50,False,6
edges_T6W50,False,7
nodes_T6W50,False,7
