feature,mean_coef,std_coef,frac_nonzero
edges_T2W20,0.08749290092604423,0.26105304868357115,1.0
lcc_T2W20,0.07524662397292381,0.14746426743510915,1.0
l3_T2W20,-0.06325366756990282,0.1514275368513143,1.0
lsc_T2W20,0.060412764443604106,0.10456418536509096,1.0
pe_T2W20,0.052427493140952394,0.16852535470468874,1.0
diameter_T2W20,-0.03546297819616218,0.13580940538179873,1.0
asp_T2W20,-0.025852993007742527,0.130487891417256,1.0
l2_T2W20,-0.020879724691550357,0.2108886318076664,1.0
nodes_T2W20,0.016700229675668178,0.0847541638774579,1.0
atd_T2W20,0.013999004731546673,0.07243037232790128,1.0
re_T2W20,0.011782595163389429,0.10443349899165262,1.0
l1_T2W20,0.0013741813274567565,0.06601665743652578,1.0
density_T2W20,0.0011312365873611162,0.010008098253549851,1.0
