subject,z_diameter_T2W30,z_asp_T2W30
CDMS-10-4A-JURAN,0.6838047711620777,1.0822126831181142
CDMS-10-5A-HEPIHO,-0.2293653135189879,-0.3042331402655869
CDMS-10-5A-KSRAGU,0.4359456819946183,0.5785132170670984
CDMS-10-5A-SROPU,0.3535202052496575,0.7601234086374243
CDMS-10-5A-SZURO,0.5010909692587939,0.1849099559490657
CDMS-10-5B-SRAJA,0.9334581189290164,1.0793365415058076
CDMS-10-5C-DAAUSA,0.095427657353122,0.2394750737745173
CDMS-10-5C-ICAPA,0.7614909764170482,1.8237838679225504
CDMS-10-5C-JFALGI,-0.5244643756066955,-0.7552283464406669
CDMS-10-5C-NBEMO,0.108740898185188,0.0868279691060893
CDMS-10-6B-ASCACO,0.9860557301300994,1.2328365310934783
CDMS-10-6B-JJMOBE,0.0272451364952146,-0.4772603212384871
CDMS-11-5A-EAARCA,0.5924734080732517,0.746817444444257
CDMS-11-5A-MGTHAR,-0.1284016038190708,-0.0157016180619309
CDMS-11-6A-DFVEBE,1.459968863252027,1.7499751199800462
CDMS-11-6A-NMREPR,1.3476011687967324,1.8388626728893256
CDMS-11-6B-ARAHE,1.0667203905588414,1.4510907790563607
CDMS-11-6B-AVROTO,0.1296279466534257,0.0860555654246635
CDMS-11-6B-EAFESA,1.239466992866728,1.466749515770071
CDMS-11-6B-EFRGR,0.8146104362470208,1.1439030479660788
CDMS-11-6B-EROCO,0.6016307006566683,0.9423129667632704
CDMS-11-6B-JACUPE,0.9521225365663928,1.3325706455468536
CDMS-11-6B-JDCHBA,1.0733031072802912,1.2047687739745827
CDMS-11-6B-JFSAHE,0.030840179646637,0.1423212721523087
CDMS-11-6B-JLPENA,0.6696373023102324,0.9189492837521502
CDMS-11-6B-JMARME,0.572104715343199,0.9022814004179422
CDMS-11-6B-JPSAMA,0.0645967983413364,0.1510766433987743
CDMS-11-6B-LESTA,0.7766455594994016,1.00075435755582
CDMS-11-6B-MEBRTA,2.079619532581215,2.6111333321030297
CDMS-11-6B-MMAMO,0.5232813805889047,0.6212620041616025
CDMS-11-6B-RSECA,0.177206590003919,0.3292895235140412
CDMS-11-6B-SCAPA,0.0623247681206356,0.1554325874298457
CDMS-11-6B-VZAPE,0.08862730033859,0.3692832537609012
CDMS-11-6B-YLNIME,-0.4214516906533045,-0.3469578221344603
CDMS-11-7C-ICARE,-0.1998525235062746,0.0058652304987567
CDMS-11-7C-SALMA,0.1477107350991723,0.2014383954227608
CDMS-11-7C-SPGAVE,0.5478059912119051,0.7372876243056208
CDMS-12-5A-SRIGO,0.9222456278878128,1.0760821797397415
CDMS-12-6A-FAROPA,0.0019348685729067,0.0745634956256332
CDMS-12-6A-JGIGA,0.1274462119730709,0.1125152476283979
CDMS-12-6A-SROAL,0.563479276037976,0.4772604444818823
CDMS-12-6B-IJDAGA,1.2218120149951024,1.684488014171316
CDMS-12-6B-SCLAG,0.989134656915686,1.5492591649309513
CDMS-12-7C-ARAHE,-0.0998575742331217,0.2161848382351647
CDMS-12-7C-CATRAR,-0.3108183078061073,-0.554444427678677
CDMS-12-7C-DLOLO,0.6111409247863585,0.6550099426760654
CDMS-12-7C-JSZAOR,2.1531610749707086,2.675398171736987
CDMS-12-7C-MAROBE,-0.1746616752695618,0.0110766968559218
CDMS-12-7C-VMAPA,-0.671658020162693,-0.6740550118364224
CDMS-12-7C-VQURA,0.0924342052749228,0.1551000874219411
CDMS-13-6B-ASUMO,0.3313690655923462,-0.0373500155571519
CDMS-13-6B-JDTAHE,1.088015410908656,1.1459552025615587
CDMS-13-7C-MVEAR,0.9288845450308628,1.2156729894381113
CDMS-13-7C-RAIZAC,0.9043183298708632,1.1296798711739
CDMS-13-7C-SSOSLO,1.6268883488466903,2.1077106964385157
CDMS-14-10A-IMORTO,-0.4589157898050385,-0.5262724677161832
CDMS-14-10A-JCVANI,0.2766570850686907,0.4952838765374767
CDMS-14-6B-KDCAHE,0.0182017327401586,0.0545574684109937
CDMS-15-10A-AMALOS,0.6354393749887199,0.8661865088698623
