subject,edges_T2W30,re_T2W30,l1_T2W30,lcc_T2W30,z_l3_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.13614500479130548,-0.03748570257585996,0.06184924491301112,0.03277523683471294,-0.014041438010109358,7,8.39228582421393
CDMS-10-5A-HEPIHO,-0.03191646842566964,0.005533914562302487,0.08903764486501849,0.17508114146157167,0.0809255367371598,11,8.531705247461256
CDMS-10-5A-KSRAGU,0.13369856165941693,0.008207808835971228,-0.042021245461416945,0.043342252379115494,0.009019091771394955,9,8.365289947445348
CDMS-10-5A-SROPU,0.14937690763471698,0.06436281053240515,0.11062226954238784,0.007958830529294901,0.10319105705760055,10,8.64855535355727
CDMS-10-5A-SZURO,-0.08822342279595796,-0.007309212323007144,0.08288542830181969,0.1104726623380024,0.21070232897096033,10,8.521571262752687
CDMS-10-5B-SRAJA,0.08987886586259969,-0.010285528168407092,0.04317404535118318,0.0009977350118576392,-0.3281523830378298,4,8.008656213280274
CDMS-10-5C-DAAUSA,0.08383029846105884,-0.008207043713390715,-0.10964916557470276,0.013887764544341565,-0.30617336109975946,3,7.886731970878417
CDMS-10-5C-ICAPA,-0.15614851694792115,0.01753370924932427,-0.22471235306670653,-0.10245924985050453,0.09819670232420039,7,7.845453769969256
CDMS-10-5C-JFALGI,0.12662136790931197,0.22918502600963447,-0.019736734661843124,-0.004058966112301357,0.03283182073849097,12,8.577885992144164
CDMS-10-5C-NBEMO,-0.28481066552502265,0.3092306076572815,-0.018841031188708307,-0.032165768673671574,0.0798978476755831,9,8.266354468206329
CDMS-10-6B-ASCACO,-0.020180339895445376,0.048644114974936745,-0.020848380842598848,0.006625643984768625,0.0738953696372199,9,8.301179886119748
CDMS-10-6B-JJMOBE,-0.07277077595260381,-0.09750416348611973,0.0836468701920826,0.09760782936926432,0.19968747282443208,9,8.423710711207923
CDMS-11-5A-EAARCA,0.14956915825197,-0.06344103201120038,-0.0435726834022183,-0.0725663811039211,0.033527096957576226,6,8.216559636953077
CDMS-11-5A-MGTHAR,-0.08689070147881206,0.04390300931420947,-0.024065826978384337,-0.07091673887179066,-0.035832293589397504,9,8.039240926656694
CDMS-11-6A-DFVEBE,0.11491992343086582,-0.023403282982676195,0.01267067403518264,-0.08373610977080477,-0.21761419458907602,11,8.01588048838436
CDMS-11-6A-NMREPR,0.11361743502157487,-0.023926586466488185,-0.0008171332414068023,0.030021037123049783,-0.280225822643543,9,8.051712408054055
CDMS-11-6B-ARAHE,0.10460384436701801,-0.245167799393581,0.02181686860795201,-0.024957762159399887,0.021568213092043133,7,8.0909068427749
CDMS-11-6B-AVROTO,0.1600020062414888,-0.030919490395147617,0.10546444511327062,0.07084855923861452,-0.0061215451904422106,10,8.512317453268658
CDMS-11-6B-EAFESA,0.1424377248620495,-0.027330237827799655,0.09334553426570696,-0.05210517372748416,0.09870598012260999,7,8.468097305955954
CDMS-11-6B-EFRGR,0.13213104539964204,0.02870494358246289,0.0162791624015006,0.03854793381425769,0.1086461029324411,7,8.537352666391172
CDMS-11-6B-EROCO,0.16377098921463004,-0.03206755656211427,0.06093168775675609,0.0034552261179547927,0.049471715042843895,8,8.458605539830941
