feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
z_l3,z,6,T6W40,252,0.06359379800091133,0.3146468139186953,0.0650295699869564,0.3047944101448047,-0.14086322164167417,0.02534008771625285,-0.13047223322800558,0.03886733128236461,0.0788684775092303,0.21213427908171062,0.08129129655694431,0.1992843427652795,-0.07845785295188527,0.21453119158162529,-0.07286679714603625,0.2500637899871289
z_l2,z,6,T6W40,252,-0.06842292764327115,0.27923085641491874,-0.07333283358517592,0.24703931254351869,0.07540373560299185,0.2329692968624058,0.03738648730603503,0.5554836850224351,-0.06045800267740327,0.3391509639477186,-0.06793110532420422,0.28367602431231276,0.020995318832006317,0.7401385259837373,0.003706922293312839,0.953401540284229
z_re,z,6,T6W40,252,0.03780403905215397,0.5502733999814305,0.04045636375022474,0.5234663280253041,-0.04958401778410183,0.4332215868125981,-0.024984448779000145,0.6936446633730876,0.012100484664340733,0.8484149448224081,0.016277635489211757,0.7974752202435862,-0.08267193124903649,0.19084217035509887,-0.07234409267848436,0.2534865058093687
z_asp,z,6,T6W40,252,0.025110873688963385,0.6915861155501424,0.027154481554378936,0.6685495860935747,-0.03925688883354829,0.5350440348766105,-0.01928919884718597,0.7610507342439277,0.05318054593489969,0.4005648492263324,0.056745947318380174,0.3706486557177215,-0.07792926447189363,0.21764517701306632,-0.06954054425919433,0.2723969569807245
z_diameter,z,6,T6W40,252,0.028765745742657996,0.649493568945624,0.030754934407913794,0.6277242901846541,-0.02972470847007759,0.6386244241724645,-0.010158925366615022,0.8727641722269516,0.06194157690780915,0.3274099485829893,0.06542539463678017,0.301853908774995,-0.07150343029888515,0.258102812099408,-0.06333384280578973,0.31760484365311764
z_density,z,6,T6W40,252,0.02061874734306292,0.7446363564298033,0.018329848544816747,0.7726011522792867,0.026394036898256017,0.6766916390615049,0.0005261801659039648,0.9933819015831223,0.025143590458581583,0.691204844207793,0.021164218096328204,0.7386301199892967,0.061557266146966494,0.3304259159727995,0.05077391857451323,0.42318279063420916
z_l1,z,6,T6W40,252,-0.03872348011710436,0.5406108184436932,-0.03812764385511488,0.5476674946534994,0.024323076416027326,0.7007901400937705,0.0317560281800647,0.6165645837049389,-0.09523786138006754,0.13161419378059494,-0.09427648102283773,0.13635988806688062,-0.021906200364169643,0.7292955316349752,-0.019084688370012804,0.7635086681108977
z_pe,z,6,T6W40,252,-0.044498320569127434,0.4819152735004801,-0.04572693541646021,0.4707790032412506,-0.0036972501525126167,0.9534296737256692,-0.016392737814078573,0.7960744275871989,-0.026266529288650284,0.6781662036187326,-0.028290756838640508,0.6555525117665714,-0.021575110711734957,0.7332306808783254,-0.02713511002430319,0.6687720360742537
z_lsc,z,6,T6W40,252,-0.05357827018809666,0.3970460592981725,-0.056103711440953136,0.3760969835610446,0.0015360666069907845,0.9806427585545499,-0.022588625889126315,0.721743015637211,-0.06202665373502858,0.3267446975455652,-0.06619616963873848,0.29618200256737337,0.05792682960922341,0.3597941659006285,0.048123175116933224,0.4478233877119848
