subject,edges_T2W40,re_T2W40,l1_T2W40,l3_T2W40,lsc_T2W40,y_true,y_pred
CDMS-10-4A-JURAN,0.15590761155232413,-0.05075352716964678,0.026055279820278707,0.00324182745039796,0.00914554118552539,7,8.368821958064094
CDMS-10-5A-HEPIHO,0.001241506092658031,-0.008736733199832161,0.04846672314844797,0.01988607986778412,0.11471964410374066,11,8.40080244523802
CDMS-10-5A-KSRAGU,0.14789300910257727,-0.0042603522302756235,-0.028871586442691017,0.006214067194821889,0.08416810132115464,9,8.430368464170808
CDMS-10-5A-SROPU,0.16630491680880946,0.06784792667443759,0.09826656306615834,0.049949117253103484,0.02670314936518197,10,8.634296898392911
CDMS-10-5A-SZURO,-0.13210584937190623,-0.010778929680441033,0.01540415295031121,0.02263016674117585,-0.04426866152140084,10,8.076106104342962
CDMS-10-5B-SRAJA,0.08918603531938277,-0.004383630138379534,-0.0051355250522564025,-0.3731043789048733,0.004964646677684521,4,7.936752373126783
CDMS-10-5C-DAAUSA,0.09114285651301383,-0.05773625991551278,-0.0962996973454682,-0.40042929523533516,-0.04183319664531801,3,7.720069632596604
CDMS-10-5C-ICAPA,-0.17617662673512008,-0.21179625083780218,-0.04714666758089775,-0.013818057265213719,-0.13104023241388335,7,7.6452473903923055
CDMS-10-5C-JFALGI,0.14373349616907144,0.10298417039562988,-0.07207752853692274,0.05147232888462822,0.21344785299457414,12,8.664785545132203
CDMS-10-5C-NBEMO,-0.21784710216981953,0.2402136468256359,-0.010783906980422244,0.045335399515526446,-0.12765756985999546,9,8.154485692556149
CDMS-10-6B-ASCACO,0.029748081088008766,0.04226965699969444,0.043983705912952524,-0.006018028452161488,-0.13212600595563279,9,8.203082634818085
CDMS-10-6B-JJMOBE,-0.17687610950059648,0.03747621943996292,0.07981023351888518,0.04765061286184418,0.038869468078459715,9,8.252155649623777
CDMS-11-5A-EAARCA,0.14396153995284167,-0.12581109574285682,-0.09421715134134363,0.016757473885699276,0.02834471687157406,6,8.194260708851138
CDMS-11-5A-MGTHAR,-0.055719116333722805,0.07073680948578583,-0.03209978456302499,0.0032130720963657548,0.06321901503552552,9,8.274575220946156
CDMS-11-6A-DFVEBE,0.10729026047985238,-0.0665110345752526,-0.03565404594585291,-0.04681108844465171,-0.027557554369586575,11,8.155981762369729
CDMS-11-6A-NMREPR,0.10992860665988013,-0.04077792226642167,0.03280384750693183,-0.08278204355178793,0.020013302328708654,9,8.264411015902532
CDMS-11-6B-ARAHE,0.10211830705436858,-0.24234314932178833,0.05623898183274303,-0.006404500120583732,-0.016069323228996228,7,8.118765541440968
CDMS-11-6B-AVROTO,0.14227976847772586,-0.0033747821219945427,0.06682061731563804,0.1618136241466312,0.01848229686850956,10,8.611246749911725
