subject,edges_T2W40,re_T2W40,l1_T2W40,l3_T2W40,lsc_T2W40
CDMS-10-4A-JURAN,39.0,2.165137614678899,0.7155963302752294,1.3577981651376148,25.86238532110092
CDMS-10-5A-HEPIHO,38.83673469387755,1.9795918367346936,0.0,1.2142857142857142,24.887755102040817
CDMS-10-5A-KSRAGU,39.0,2.4430379746835444,1.2278481012658229,1.3670886075949369,25.050632911392405
CDMS-10-5A-SROPU,39.0,2.5223880597014925,0.4850746268656716,0.5522388059701493,26.21641791044776
CDMS-10-5A-SZURO,38.0,1.3333333333333333,0.0,0.0,25.666666666666668
CDMS-10-5B-SRAJA,39.0,3.301282051282051,0.391025641025641,4.5256410256410255,24.762820512820515
CDMS-10-5C-DAAUSA,39.0,2.243478260869565,0.1391304347826087,4.113043478260869,25.817391304347822
CDMS-10-5C-ICAPA,38.0,5.076923076923077,2.3846153846153846,0.6153846153846154,22.923076923076923
CDMS-10-5C-JFALGI,39.0,0.8372093023255814,0.0,0.813953488372093,28.023255813953487
CDMS-10-5C-NBEMO,37.96428571428572,0.4821428571428571,0.9107142857142856,0.4285714285714285,23.392857142857142
CDMS-10-6B-ASCACO,38.87356321839081,2.655172413793104,1.5402298850574712,1.4482758620689655,23.48275862068965
CDMS-10-6B-JJMOBE,38.0,3.25,0.0,0.0,25.0
CDMS-11-5A-EAARCA,39.0,1.6907894736842106,1.0263157894736843,1.269736842105263,25.625
CDMS-11-5A-MGTHAR,38.83544303797469,0.9620253164556962,0.9367088607594936,1.0,25.10126582278481
CDMS-11-6A-DFVEBE,39.0,1.8695652173913044,1.0434782608695652,5.434782608695652,23.82608695652174
CDMS-11-6A-NMREPR,39.0,2.1265822784810124,1.3924050632911391,6.139240506329114,24.253164556962027
CDMS-11-6B-ARAHE,39.0,4.141176470588236,1.7705882352941176,1.6176470588235294,24.323529411764707
CDMS-11-6B-AVROTO,39.0,1.4424778761061947,0.6902654867256637,2.371681415929204,25.920353982300885
CDMS-11-6B-EAFESA,39.0,1.7752808988764044,1.898876404494382,0.0,25.191011235955056
CDMS-11-6B-EFRGR,39.0,2.6847826086956523,1.8315217391304348,0.532608695652174,25.17934782608696
CDMS-11-6B-EROCO,39.0,1.679245283018868,2.2830188679245285,2.2830188679245285,26.90566037735849
CDMS-11-6B-JACUPE,38.77058823529412,3.476470588235294,2.8411764705882354,2.611764705882353,20.623529411764707
CDMS-11-6B-JDCHBA,38.74342105263158,2.6907894736842106,1.4407894736842106,5.144736842105263,23.05263157894737
CDMS-11-6B-JFSAHE,39.0,2.090909090909091,0.2045454545454545,0.75,26.234848484848484
CDMS-11-6B-JLPENA,37.16666666666666,1.4743589743589745,1.9743589743589745,0.7307692307692307,16.73076923076923
CDMS-11-6B-JMARME,38.85114503816794,1.6603053435114503,1.0534351145038168,0.8435114503816794,25.73282442748092
CDMS-11-6B-JPSAMA,39.0,0.0185185185185185,0.7222222222222222,1.2407407407407407,27.38888888888889
CDMS-11-6B-LESTA,38.13861386138614,1.9702970297029705,0.6336633663366337,1.1584158415841583,22.257425742574256
CDMS-11-6B-MEBRTA,39.0,2.623762376237624,2.8217821782178216,0.6633663366336634,22.099009900990097
CDMS-11-6B-MMAMO,39.0,2.074866310160428,0.7005347593582888,1.93048128342246,25.850267379679146
CDMS-11-6B-RSECA,39.0,0.9411764705882352,0.4509803921568627,0.7450980392156863,27.49019607843137
CDMS-11-6B-SCAPA,39.0,1.107843137254902,0.0,1.568627450980392,26.823529411764707
CDMS-11-6B-VZAPE,39.0,0.5357142857142857,2.1875,0.8035714285714286,25.9375
CDMS-11-6B-YLNIME,39.0,0.8333333333333334,0.0,1.462962962962963,27.24074074074074
CDMS-11-7C-ICARE,39.0,3.083333333333333,0.0,2.861111111111111,24.52777777777778
CDMS-11-7C-SALMA,39.0,2.9545454545454546,0.1666666666666666,0.5909090909090909,25.33333333333333
