feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
nodes,raw,2,T2W10,240,-0.04868075941870847,0.45285313699584645,-0.05728226622983584,0.3779695016087273,0.05948597379614948,0.3588522658605233,0.021573828995903908,0.7400302055437258,0.04868075941870847,0.05728226622983584,0.05948597379614948,0.021573828995903908
edges,raw,2,T2W10,240,0.012655068222002824,0.8453649782586026,0.008901767019678828,0.8911104766718708,0.20248839894554166,0.0016144221535441736,0.18648868299070515,0.0038114994888321057,0.012655068222002824,0.008901767019678828,0.20248839894554166,0.18648868299070515
re,raw,2,T2W10,240,-0.01256779807620901,0.8464181196111897,-0.008637891916322213,0.8943191788713125,-0.039637514103763274,0.5411360166216717,-0.01882608932845918,0.7721650613261866,0.01256779807620901,0.008637891916322213,0.039637514103763274,0.01882608932845918
pe,raw,2,T2W10,240,0.12053818615072556,0.062262207634636524,0.12651617248526106,0.05076097704096095,0.00971318580022819,0.8810060860526456,0.035763307748395375,0.5822064073896368,0.12053818615072556,0.12651617248526106,0.00971318580022819,0.035763307748395375
l1,raw,2,T2W10,240,0.01174059231175039,0.8564137945118891,0.021250263231102448,0.743792190787983,-0.016881420170111756,0.7947257097770731,0.03150360063972946,0.6279595747099239,0.01174059231175039,0.021250263231102448,0.016881420170111756,0.03150360063972946
l2,raw,2,T2W10,240,0.13034054787935784,0.04366435801836335,0.1378055851403792,0.03321926804211027,-0.009382462859305576,0.8850292182042261,0.02092490267426075,0.7475811803950321,0.13034054787935784,0.1378055851403792,0.009382462859305576,0.02092490267426075
l3,raw,2,T2W10,240,-0.09467083096218676,0.14366907876228346,-0.0950842815649597,0.14276187911799412,-0.09508801564573734,0.14190432577335874,-0.09864674362541524,0.12832063552122908,0.09467083096218676,0.0950842815649597,0.09508801564573734,0.09864674362541524
lcc,raw,2,T2W10,240,-0.01858447304075351,0.7745480149735413,-0.029191119499833523,0.6534219230208039,0.11751900333009588,0.06915680069542456,0.0709891653943644,0.2743535069980948,0.01858447304075351,0.029191119499833523,0.11751900333009588,0.0709891653943644
lsc,raw,2,T2W10,240,-0.004474739704447909,0.9450208286410337,-0.003052447187413176,0.9625591402937127,0.03637598496167262,0.5749489933962241,0.04477145910550465,0.4909071491636988,0.004474739704447909,0.003052447187413176,0.03637598496167262,0.04477145910550465
atd,raw,2,T2W10,240,0.04955895390865454,0.44473294874168134,0.054733352979376655,0.3995906481116542,0.007422906788517588,0.9089235838952521,0.03300549549949014,0.6116526600811834,0.04955895390865454,0.054733352979376655,0.007422906788517588,0.03300549549949014
density,raw,2,T2W10,240,0.017238618488529613,0.7904818208924819,0.021110725436307282,0.7454164307964342,-0.02275037601819383,0.7258489710311282,-0.002930569667803773,0.9640530453292733,0.017238618488529613,0.021110725436307282,0.02275037601819383,0.002930569667803773
diameter,raw,2,T2W10,240,0.0028780277469868764,0.964622604940815,-0.005458764155562202,0.933097272939062,0.09687000603958945,0.13455203961101922,0.05584691285383315,0.3900554038546225,0.0028780277469868764,0.005458764155562202,0.09687000603958945,0.05584691285383315
asp,raw,2,T2W10,240,0.00219555362465564,0.9730080624500138,-0.006129938238311845,0.9248942094259097,0.09293686441946274,0.15118362859903942,0.05188181105807496,0.42463484251909067,0.00219555362465564,0.006129938238311845,0.09293686441946274,0.05188181105807496
cc,raw,2,T2W10,240,-0.08542386093730521,0.18720802699885797,-0.0856022069285981,0.18721526804981684,-0.09604621493365233,0.13791369066383619,-0.09839805103135464,0.12929063727799725,0.08542386093730521,0.0856022069285981,0.09604621493365233,0.09839805103135464
nodes,raw,2,T2W20,237,-0.07203470546701311,0.26936219831588215,-0.08115688947587624,0.2141678979779677,0.026494388044306587,0.6848964039759401,-0.017082040357630102,0.7940578044646671,0.07203470546701311,0.08115688947587624,0.026494388044306587,0.017082040357630102
edges,raw,2,T2W20,237,0.0021462850874518764,0.9737806631968222,-0.000738814221438694,0.9909923794678308,0.19953894975473946,0.0020237640933111183,0.18638258897587115,0.004062327040010233,0.0021462850874518764,0.000738814221438694,0.19953894975473946,0.18638258897587115
re,raw,2,T2W20,237,-0.013328077054383653,0.8382695876694896,-0.0071209989395789085,0.9133489076779632,-0.034892361446722905,0.5930068263273791,0.0036869676456438585,0.9550711709857793,0.013328077054383653,0.0071209989395789085,0.034892361446722905,0.0036869676456438585
pe,raw,2,T2W20,237,0.1107963656904043,0.08877149263936356,0.11580732570007832,0.07579908569895397,0.00909554891577643,0.8892235568445863,0.034420131455439026,0.5988045009505562,0.1107963656904043,0.11580732570007832,0.00909554891577643,0.034420131455439026
l1,raw,2,T2W20,237,0.009078113270293082,0.8894345518403296,0.01721316447532531,0.792512723907755,-0.03313443150163935,0.6117755970125992,0.01369548507424844,0.8342243951195834,0.009078113270293082,0.01721316447532531,0.03313443150163935,0.01369548507424844
l2,raw,2,T2W20,237,0.12716471726138018,0.0505511493168774,0.1335040473968399,0.04044053629995482,0.004488200631854129,0.9452045351333094,0.0344453313864857,0.5985367574633192,0.12716471726138018,0.1335040473968399,0.004488200631854129,0.0344453313864857
l3,raw,2,T2W20,237,-0.07823103453053534,0.23020784701083338,-0.07913296092217932,0.22585359011838083,-0.05456785531444439,0.40301808466334127,-0.06079314430663427,0.35246241225395564,0.07823103453053534,0.07913296092217932,0.05456785531444439,0.06079314430663427
lcc,raw,2,T2W20,237,-0.05491822200355469,0.4000003368074119,-0.06491756919078476,0.3206927154711359,0.07524478461209454,0.2485449374853176,0.0285930071169411,0.6621032017955486,0.05491822200355469,0.06491756919078476,0.07524478461209454,0.0285930071169411
lsc,raw,2,T2W20,237,0.05216317509560748,0.4240930152115913,0.05150575637042459,0.4309493343102978,0.12530282868960396,0.0540528512126283,0.123465977592503,0.05823800648072179,0.05216317509560748,0.05150575637042459,0.12530282868960396,0.123465977592503
