feature,mean_coef,std_coef,frac_nonzero
pe_T2W10,0.6843388486235991,1.5087431144518226,1.0
edges_T2W10,0.5968738095040573,1.2485867750795736,1.0
l2_T2W10,-0.5761077090541318,1.8146965546064582,1.0
l3_T2W10,-0.4619719186246364,0.770050577524638,1.0
nodes_T2W10,0.2604660552789565,0.5623956104292543,1.0
l1_T2W10,0.22662840634873024,0.5956482432456562,1.0
atd_T2W10,0.14664029968091014,0.5233512390113306,1.0
lcc_T2W10,0.12536468609387624,0.5096883057699093,1.0
lsc_T2W10,0.09608147646360765,0.2842230204813255,1.0
asp_T2W10,-0.08665138497407714,0.6687160913753591,1.0
density_T2W10,0.05150005059862261,0.23952842969159474,1.0
diameter_T2W10,0.04736356731934256,0.44533510696527845,1.0
re_T2W10,-0.03949938098890808,0.5907105841588934,1.0
