subject,lcc_T6W40,z_l1_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,-0.4882801778780553,0.17371859015239152,2,5.248120447565327
CDMS-10-5A-HEPIHO,-0.6831004414700164,0.31227075850821284,7,5.191852352329188
CDMS-10-5A-KSRAGU,-0.24009894501417298,-0.213274487209168,5,5.1093086030676504
CDMS-10-5A-SROPU,-0.2284546821315408,-0.11320615968288066,6,5.221021193476569
CDMS-10-5A-SZURO,-0.22809827596882348,0.099763301818257,5,5.434347061140425
CDMS-10-5B-SRAJA,-0.2485591867932682,0.32596692345149064,13,5.640089771949214
CDMS-10-5C-DAAUSA,0.1395275527510585,0.30863782809113227,8,6.010847416133182
CDMS-10-5C-ICAPA,1.0773078346308222,-0.03717157715769683,7,6.602818292764117
CDMS-10-5C-JFALGI,0.5902597858530108,0.5589594400862986,10,6.711901261230301
CDMS-10-5C-MAORTO,0.8247610580812496,-0.09376949725811837,12,6.293673596114123
CDMS-10-5C-NBEMO,0.46657499068437935,-0.6436582639860204,5,5.38559876198935
CDMS-10-6B-ASCACO,0.2989668637449252,0.5180928413584532,6,6.37974174039437
CDMS-10-6B-JJMOBE,-0.2153759980658472,0.37361085218321316,1,5.7209168894083575
CDMS-11-4A-GACHSA,0.5518129379378381,0.05965242249046876,2,6.174147395719298
CDMS-11-5A-EAARCA,0.22122606494472397,0.29793314178117386,8,6.081841242016889
CDMS-11-5A-MGTHAR,0.9426064473871075,0.10139410354424294,9,6.606682586222342
CDMS-11-6A-DFVEBE,0.054111213693585576,-0.9768984098716595,1,4.639894839112917
CDMS-11-6A-NMREPR,-0.07483062466524425,0.34536527401437744,8,5.833216684640124
CDMS-11-6B-ARAHE,0.20241767960747145,-0.6103313188902314,5,5.154768396008231
CDMS-11-6B-AVROTO,-0.44176192915434237,0.2698762721808464,8,5.3907963783174955
CDMS-11-6B-EAFESA,-0.20632241879316723,-0.09077890602284858,0,5.265580710474976
CDMS-11-6B-EFRGR,0.5882713397489631,-0.04025753465343878,3,6.110695840386516
CDMS-11-6B-EROCO,0.40792265603592337,0.2380480296091108,6,6.208652720936025
CDMS-11-6B-JACUPE,1.0989894903250466,-0.6916713197807365,9,5.970000205835301
CDMS-11-6B-JDCHBA,0.613167495042986,-0.4660263955059925,3,5.709823134827984
CDMS-11-6B-JFSAHE,-0.5462819182282004,0.31619819584282155,3,5.3325983129056125
CDMS-11-6B-JLPENA,0.11629425747926342,-0.0024467304500081326,4,5.676529562320247
CDMS-11-6B-JMARME,0.038038244168590925,0.2880901760990447,5,5.888810455558627
