subject,density_T6W40,z_l1_T6W40
CDMS-10-4A-JURAN,-0.7791407239286733,-0.5239037821440315
CDMS-10-5A-HEPIHO,-0.9776903700223389,-0.8968258755054431
CDMS-10-5A-KSRAGU,-0.39748172859811287,0.5177130343854509
CDMS-10-5A-SROPU,-0.6909711807178244,0.2483726796070153
CDMS-10-5A-SZURO,-0.196980187755961,-0.3248483558162092
CDMS-10-5B-SRAJA,-0.15518210280979905,-0.9336899864196317
CDMS-10-5C-DAAUSA,0.25143738699202683,-0.8870476090787877
CDMS-10-5C-ICAPA,2.6622519787176135,0.04372069891528755
CDMS-10-5C-JFALGI,1.6657460264252963,-1.5608043655887507
CDMS-10-5C-MAORTO,1.737637700103461,0.196057649640926
CDMS-10-5C-NBEMO,0.6632278563306423,1.6761187157186284
CDMS-10-6B-ASCACO,0.9247645799520248,-1.4508092805099642
CDMS-10-6B-JJMOBE,-0.2166717359062895,-1.061926692127236
CDMS-11-4A-GACHSA,1.0283147329748272,-0.21688733822267045
CDMS-11-5A-EAARCA,0.8619932993042383,-0.8582352557619137
CDMS-11-5A-MGTHAR,1.9009866052391409,-0.32923776379682074
CDMS-11-6A-DFVEBE,0.08786301572626395,2.573056051817081
CDMS-11-6A-NMREPR,0.04793235297574018,-0.9859018975395801
CDMS-11-6B-ARAHE,0.3488359747982308,1.5864170944596614
CDMS-11-6B-AVROTO,-0.5424929877133705,-0.7827183824521309
CDMS-11-6B-EAFESA,-0.35732403027700016,0.18800828053267093
CDMS-11-6B-EFRGR,0.9995316692480132,0.052026752461710284
CDMS-11-6B-EROCO,0.9201252722738579,-0.6970506156555548
CDMS-11-6B-JACUPE,2.1247424604157548,1.8053489507132974
CDMS-11-6B-JDCHBA,0.8903965722465819,1.1980110900685548
CDMS-11-6B-JFSAHE,-1.0193881941830794,-0.9073968262870048
CDMS-11-6B-JLPENA,0.1811908526600286,-0.04974346465253803
CDMS-11-6B-JMARME,0.05778114444169762,-0.8317422790685618
CDMS-11-6B-JPSAMA,-0.8234852093171389,0.029372823245637867
CDMS-11-6B-LESTA,0.8618498709704869,-0.3733803153543761
CDMS-11-6B-MAGIMU,1.7200875115747354,-1.1859832051072674
CDMS-11-6B-MEBRTA,0.05291921891463909,0.5056081221106461
CDMS-11-6B-MMAMO,-0.5470748509306516,0.4670198295894677
CDMS-11-6B-RSECA,0.5990252735041859,-0.8449025804684935
CDMS-11-6B-SCAPA,-0.687117102639716,-0.9624552222074333
CDMS-11-6B-VZAPE,0.3813044938510306,0.2846585942013755
CDMS-11-6B-YLNIME,-0.300426406712824,-1.0123638023654544
CDMS-11-7C-ICARE,-0.0016455060323499902,-0.6713530910790121
CDMS-11-7C-IMOIB,-0.721532135130376,0.42379662447472033
CDMS-11-7C-SALMA,-0.1944969355617151,-1.181513934979735
CDMS-11-7C-SPGAVE,0.10575701832364479,2.7287178708699766
CDMS-12-5A-SRIGO,-0.7355713396640527,0.13994090332481557
CDMS-12-6A-FAROPA,-0.7593879995421448,0.5310904235905147
CDMS-12-6A-JGIGA,0.9856645949327608,-0.5220178073339029
CDMS-12-6A-JSOTGU,0.6411325732608358,-0.45549742845568864
CDMS-12-6A-SROAL,-0.6349877190823335,-0.026521713921372102
CDMS-12-6B-IJDAGA,0.33511741197170863,3.3292926006310966
CDMS-12-6B-SCLAG,0.32775095236601814,1.0561789015070664
CDMS-12-7C-ARAHE,0.6303081080956483,-1.4697674981749247
CDMS-12-7C-CATRAR,-0.45409228001762936,-0.9616883081203613
CDMS-12-7C-DLOLO,0.17823857391415937,-0.8735813098531076
CDMS-12-7C-JSZAOR,-1.6862205195801676,-0.07085578173117106
CDMS-12-7C-MAROBE,-1.244574117733557,-0.8632207342152634
CDMS-12-7C-VMAPA,-0.05831544949545009,-1.4082981796072116
CDMS-12-7C-VQURA,-0.6103831245282493,-0.8770132078184968
CDMS-13-6B-ASUMO,-0.21548778325114523,0.1094720805721219
CDMS-13-6B-JDTAHE,-0.4744832910970448,0.34924898930568926
CDMS-13-7C-MVEAR,1.21415971987754,2.3623543523766433
CDMS-13-7C-RAIZAC,-1.142397316690199,-0.14655500446867675
CDMS-13-7C-SSOSLO,0.6952743430523397,0.5496564633668791
CDMS-14-10A-IMORTO,-0.4087813858116984,-0.8159191962668767
CDMS-14-10A-JCVANI,-1.0125374466653922,-0.24577678240945905
CDMS-14-5A-LSDUCO,1.0176976874968606,-0.7703506061259333
CDMS-14-6B-KDCAHE,-0.32191603123712503,0.7766756099597695
CDMS-15-10A-AMALOS,-0.42889986922322454,1.4917545731147004
CDMS-15-10A-JJMACH,-1.2593035800603947,0.07712505163874192
