feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_atd_T2W30,0.22209245806349662,0.06327342761481947,1.0,399,0.9975
z_l3_T2W30,-0.13920161765069552,0.054368265518969575,1.0,205,0.5125
z_l1_T2W30,0.12823816585016592,0.07558397731291895,1.0,152,0.38
z_lsc_T2W30,0.08916020249490256,0.05181032017869563,1.0,230,0.575
z_diameter_T2W30,-0.08518582443235205,0.07496822027320585,1.0,297,0.7425
z_density_T2W30,-0.04857405670206756,0.10626086694993489,1.0,84,0.21
z_pe_T2W30,0.03726901794697361,0.04721547961733073,1.0,140,0.35
z_re_T2W30,-0.021841086757464823,0.07170125098179121,1.0,132,0.33
z_asp_T2W30,-0.021829140259110282,0.08734554735397294,1.0,217,0.5425
z_l2_T2W30,0.016813129187474057,0.04525163779550875,1.0,144,0.36
