subject,pe_T2W30,asp_T2W30
CDMS-10-4A-JURAN,1.3949579831932772,3.923187753986554
CDMS-10-5A-HEPIHO,0.2592592592592592,3.319083226561241
CDMS-10-5A-KSRAGU,0.4606741573033708,3.734319103477284
CDMS-10-5A-SROPU,1.0486111111111112,4.240939091879227
CDMS-10-5A-SZURO,0.2307692307692307,3.6833275420231946
CDMS-10-5B-SRAJA,0.5903614457831325,3.984397333629648
CDMS-10-5C-DAAUSA,0.832,3.633645434392711
CDMS-10-5C-ICAPA,0.391304347826087,3.6713768240508338
CDMS-10-5C-JFALGI,0.0,3.8124353029767306
CDMS-10-5C-NBEMO,1.0454545454545454,3.962371617357056
CDMS-10-6B-ASCACO,2.7216494845360826,3.832288254096652
CDMS-10-6B-JJMOBE,0.0,3.518363448146057
CDMS-11-5A-EAARCA,0.9876543209876544,4.434231573830269
CDMS-11-5A-MGTHAR,0.3707865168539326,4.0029575157854405
CDMS-11-6A-DFVEBE,0.8484848484848485,3.6173850904660143
CDMS-11-6A-NMREPR,0.1348314606741573,4.623799796975176
CDMS-11-6B-ARAHE,0.7944444444444444,3.893789106892104
CDMS-11-6B-AVROTO,0.4552845528455284,3.866836438544582
CDMS-11-6B-EAFESA,0.303030303030303,4.675252409470795
CDMS-11-6B-EFRGR,0.4329896907216495,3.925145735921367
CDMS-11-6B-EROCO,0.6825396825396826,4.438215129920843
CDMS-11-6B-JACUPE,1.5444444444444445,3.141916735252537
CDMS-11-6B-JDCHBA,0.2654320987654321,3.891950398885358
CDMS-11-6B-JFSAHE,0.5,4.178945392569822
CDMS-11-6B-JLPENA,0.3181818181818182,3.844935925813637
CDMS-11-6B-JMARME,0.8529411764705882,4.24816877215442
CDMS-11-6B-JPSAMA,0.59375,4.4473127921293685
CDMS-11-6B-LESTA,0.3693693693693693,4.263698417993298
CDMS-11-6B-MEBRTA,0.8018018018018018,4.789999344143464
CDMS-11-6B-MMAMO,0.7461928934010152,3.8738175757302953
CDMS-11-6B-RSECA,0.6065573770491803,5.147003444473643
CDMS-11-6B-SCAPA,0.0,4.46086742392643
CDMS-11-6B-VZAPE,1.147540983606557,3.8365482650908618
CDMS-11-6B-YLNIME,0.4375,3.8671105326336304
CDMS-11-7C-ICARE,1.7391304347826086,3.284913542664015
CDMS-11-7C-SALMA,0.3289473684210526,3.532854758854698
CDMS-11-7C-SPGAVE,0.4615384615384615,4.359781324310457
CDMS-12-5A-SRIGO,1.3602150537634408,4.241329461907327
CDMS-12-6A-FAROPA,0.3435582822085889,3.764499479612744
