subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,-0.0011648901378449854,0.0,0.0,0.0,0.0,-0.0014275716544650994,-0.0021603753845305224,0.0,0.0,0.0,0.0,2,4.99743579139109
CDMS-10-5A-HEPIHO,-0.00211807646838412,0.0,0.0,0.0,-5.313659924396745e-05,-0.002262755186911795,-0.002306942628268457,0.0,0.0,-0.00025397666108398546,0.0,7,4.995193741024038
CDMS-10-5A-KSRAGU,0.00043175397355296903,0.0,0.0,0.0,0.0,0.00041252208945565086,0.0,0.0,0.0,0.00018421136237746212,0.0,5,5.0032171159933165
CDMS-10-5A-SROPU,0.0004825005516671759,0.0,0.0,0.0,0.0,0.00045002059947261974,0.0005412659925196264,0.0,0.0,0.0,0.0,6,5.00366241571159
CDMS-10-5A-SZURO,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005230708861390099,0.0,0.0,0.0,0.0,5,5.001665557681791
CDMS-10-5B-SRAJA,0.0009478691636005782,0.0,0.000252744927531869,4.9868289904025486e-05,7.555903364525745e-05,0.0009986906673081603,0.0005701528613951959,0.0,0.0,0.0003991709643654962,6.336588737385502e-05,13,5.005546050363055
CDMS-10-5C-DAAUSA,0.0012719168609464145,0.0,0.00014632066661168403,0.0,3.83074621537003e-05,0.0014814503200573318,0.0013342755948324992,0.0,0.0,0.0003675114620927787,4.399857625322558e-05,8,5.006872409510878
CDMS-10-5C-ICAPA,0.0004576570529102308,0.0,0.0,0.0,0.0,0.0007240288733170909,0.0,0.0,0.0,0.00023284989263087637,0.0,7,5.003603164386789
CDMS-10-5C-JFALGI,0.000820468518354113,0.0,0.00024303587690705167,5.2349497181894324e-05,6.69938280765153e-05,0.0011315168855255762,0.0008556330049786223,0.0,0.0,0.00035602121981298524,6.001552826045383e-05,10,5.005774662927028
CDMS-10-5C-MAORTO,0.0002891197331075704,0.0,0.0,0.0,0.0,0.0006270502195821583,0.00021659467327116025,0.0,0.0,0.00023132807675542408,0.0,12,5.003552721270647
CDMS-10-5C-NBEMO,0.001072667538311399,0.0,-0.0007762023166811814,0.0,0.0,0.0013659953643292218,0.0010924773566360554,0.0,0.0,0.00035599815816535804,0.0,5,5.005299564668691
CDMS-10-6B-ASCACO,0.0009294923651190675,0.0,0.0002553944821798884,0.0,0.0,0.0012103722440467424,0.0010309693541639194,0.0,0.0,0.0003104750033494953,6.087250289877949e-05,6,5.005986204519688
CDMS-10-6B-JJMOBE,0.0,0.0,0.000364686652801453,0.0,0.0,-0.00028240356199544565,-0.0006033017032216097,0.0,0.0,0.0,0.0,1,5.001667609955515
CDMS-11-4A-GACHSA,0.0008157020477521711,0.0,0.0,4.256402893659213e-05,8.061269426491737e-05,0.001163325381495524,0.0009777187842997164,0.0,0.0,0.00033073116643518433,4.077666066546739e-05,2,5.00564005933178
CDMS-11-5A-EAARCA,0.001291810561979931,0.0,0.0002039339741271797,4.534629596955348e-05,8.707953687687962e-05,0.0015502900896268278,0.0012895458640946665,0.0,0.0,0.0004444156239434399,6.542196117695476e-05,8,5.007166472475726
CDMS-11-5A-MGTHAR,0.0005039686746406751,0.0,0.0,0.0,0.0,0.0008594768925175398,0.00011851877337513408,0.0,0.0,0.00015205147774502924,0.0,9,5.003822644386209
CDMS-11-6A-DFVEBE,0.0,0.0,-0.0009781746803000507,0.0,0.0,0.0,0.00046829147533124227,0.0,0.0,0.0,0.0,1,5.001678745362962
CDMS-11-6A-NMREPR,-0.00014175690147193954,0.0,0.0,0.0,0.0,-0.0003298880124614506,-0.000761229291835955,0.0,0.0,-5.9697143605870516e-05,0.0,8,5.000896057218555
CDMS-11-6B-ARAHE,0.0011648579342002643,0.0,-0.0007115447790954224,0.0,0.0,0.0013471424218017619,0.001374581095271656,0.0,0.0,0.0002619222311489215,0.0,5,5.005625587471258
CDMS-11-6B-AVROTO,-0.0017315825092545645,0.0,0.0,0.0,0.0,-0.0019890800350548677,-0.0008486004992815329,0.0,0.0,-0.0002913836802709187,0.0,8,4.997327981844069
CDMS-11-6B-EAFESA,0.0005777823833803256,0.0,0.0,0.0,0.0,0.0005265974537036461,0.0004637896982971092,0.0,0.0,0.0,0.0,0,5.0037567981033115
CDMS-11-6B-EFRGR,0.0008770352756874625,0.0,0.0,0.0,0.0,0.001198400415660972,0.0008388349629938692,0.0,0.0,0.00015465872352731858,0.0,3,5.0052575579458
CDMS-11-6B-EROCO,0.0011526402948869266,0.0,0.00018623591253246995,4.576136274809638e-05,8.372040352585786e-05,0.0014456333707622972,0.001124938045223176,0.0,0.0,0.00039905708543313786,5.9158492443083745e-05,6,5.0066857735354855
CDMS-11-6B-JACUPE,0.00036022664427604024,0.0,-0.0005531012084204572,0.0,0.0,0.0006086735773248459,0.0,0.0,0.0,0.000246769933921609,0.0,9,5.0028511975150325
CDMS-11-6B-JDCHBA,0.0009431602828841699,0.0,-0.0005151076598540168,0.0,0.0,0.0012281748426635438,0.0008337564397758012,0.0,0.0,0.000182076556886076,0.0,3,5.004860689030286
CDMS-11-6B-JFSAHE,-0.002126636137756258,0.0,0.0,0.0,-6.614259832332398e-05,-0.002400619059590429,-0.002278907912553275,0.0,0.0,-0.0002780378629866298,0.0,3,4.9950382849967205
CDMS-11-6B-JLPENA,0.0006188678327721574,0.0,0.0,0.0,0.0,0.0009124442459186811,0.0,0.0,0.0,0.0,0.0,4,5.003719940646621
CDMS-11-6B-JMARME,0.000719561472095063,5.0181873022476196e-05,0.0002646212063845044,0.0,8.013227086620502e-05,0.0007727452420159625,0.000919827207942042,0.0,0.0,0.00012448090309742725,0.0,5,5.005120178743354
