subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50
CDMS-10-4A-JURAN,34.8,49.0,0.2130434782608695,1.0434782608695652,1.482608695652174,34.8,32.80434782608695,2.83292644473795,0.0788364419600085,7.908695652173913,3.650292378225684
CDMS-10-5A-HEPIHO,35.83772819472617,48.75050709939149,0.0,0.7626774847870182,1.2920892494929006,35.57403651115619,32.935091277890464,2.759022367544955,0.0755723111789246,8.49290060851927,3.8286821184291857
CDMS-10-5A-KSRAGU,33.03243243243243,49.0,0.7513513513513513,0.654054054054054,0.5567567567567567,33.03243243243243,31.41081081081081,2.9782138916456367,0.0853823946862758,7.254054054054054,3.458890599804192
CDMS-10-5A-SROPU,33.08670520231214,49.0,0.8497109826589595,1.4219653179190752,0.5722543352601156,33.08670520231214,30.745664739884397,2.982200881629591,0.0806196297793398,8.630057803468208,3.7702278283052686
CDMS-10-5A-SZURO,33.67528735632184,49.0,0.2816091954022988,0.4166666666666667,1.1954022988505748,33.67528735632184,31.67528735632184,2.957350728295292,0.084006281155289,8.382183908045977,3.7471316377018633
CDMS-10-5B-SRAJA,32.63013698630137,49.0,0.2237442922374429,0.5068493150684932,2.0,32.63013698630137,30.82648401826484,3.017274285417811,0.0886088332330344,7.255707762557078,3.2994525010940348
CDMS-10-5C-DAAUSA,31.7312661498708,49.0,0.3798449612403101,1.5684754521963824,1.9638242894056848,31.7312661498708,29.532299741602067,3.1150813187694557,0.0889621050541588,7.457364341085271,3.446847639242762
CDMS-10-5C-ICAPA,28.920289855072465,48.289855072463766,1.0507246376811594,1.1304347826086956,1.5507246376811594,28.86231884057971,25.456521739130437,3.4124000981957523,0.1061670765193916,6.702898550724638,3.103543821702209
CDMS-10-5C-JFALGI,30.60606060606061,49.0,0.0,0.9212121212121211,1.824242424242424,30.60606060606061,28.78181818181818,3.218838594603537,0.098389831877655,6.721212121212122,3.0945708793336206
CDMS-10-5C-MAORTO,29.54032258064516,49.0,1.118279569892473,1.5,1.7446236559139785,29.54032258064516,27.5752688172043,3.349417354024009,0.0990719632201716,6.946236559139785,3.184538985074005
CDMS-10-5C-NBEMO,31.025714285714287,49.0,1.74,1.237142857142857,1.94,31.025714285714287,29.114285714285717,3.190968995141912,0.0907356805395992,7.3028571428571425,3.4328694466225094
CDMS-10-6B-ASCACO,30.817777777777778,49.0,0.0,0.3644444444444444,2.24,30.817777777777778,29.511111111111116,3.1947975983324595,0.0973339107691503,6.377777777777778,3.041527453132601
CDMS-10-6B-JJMOBE,33.84805653710247,49.0,0.0,1.0742049469964663,1.5441696113074206,33.84805653710247,31.636042402826856,2.918751000299498,0.0818124992604813,8.113074204946997,3.624769589489788
CDMS-11-4A-GACHSA,30.49618320610687,49.0,0.7061068702290076,0.9408396946564884,1.6793893129770991,30.49618320610687,28.95419847328244,3.2621795793410477,0.0947196143987991,7.416030534351145,3.457777899723
CDMS-11-5A-EAARCA,31.431818181818183,49.0,0.2784090909090909,0.625,1.8238636363636365,31.431818181818183,29.619318181818183,3.182181936795028,0.0947312225846205,7.170454545454546,3.353194500409593
CDMS-11-5A-MGTHAR,29.88477366255144,49.0,1.008230452674897,1.2592592592592593,1.8106995884773665,29.88477366255144,27.51851851851852,3.329412153946686,0.0974674523560814,7.823045267489712,3.4261207862129
CDMS-11-6A-DFVEBE,33.49812734082397,48.81647940074907,2.097378277153558,0.50187265917603,1.3707865168539326,33.49438202247191,30.921348314606742,2.932913387037816,0.0825472695601906,8.209737827715356,3.5838324135131425
CDMS-11-6A-NMREPR,33.99326599326599,49.0,0.0,0.3198653198653198,0.6801346801346801,33.99326599326599,31.7979797979798,2.921290124743509,0.0817731854023719,8.474747474747474,3.741978992904733
CDMS-11-6B-ARAHE,32.02302631578947,48.67763157894737,1.5394736842105263,0.3684210526315789,1.3157894736842106,32.00986842105263,29.56907894736842,3.061506963359677,0.0866484138948841,7.796052631578948,3.536985912549766
CDMS-11-6B-AVROTO,35.641304347826086,49.0,0.0,0.2608695652173913,1.5326086956521738,35.641304347826086,31.77717391304348,2.7870859042880483,0.0765901967155742,10.255434782608695,4.281904187866005
CDMS-11-6B-EAFESA,33.15329768270945,49.0,0.5240641711229946,0.9964349376114082,1.1853832442067735,33.15329768270945,30.925133689839573,2.993374883100292,0.0834642832386568,8.42602495543672,3.751355246634605
CDMS-11-6B-EFRGR,30.83768115942029,49.0,0.982608695652174,0.5884057971014492,2.52463768115942,30.83768115942029,28.860869565217392,3.2055544283302875,0.0912737552895253,7.820289855072463,3.5281250757640064
CDMS-11-6B-EROCO,31.18888888888889,48.53888888888889,0.2722222222222222,0.75,1.7555555555555555,31.17222222222222,29.072222222222223,3.1336483600135554,0.0935618273335835,7.366666666666666,3.33492912083522
CDMS-11-6B-JACUPE,29.142857142857142,48.35064935064935,1.9758812615955472,2.01113172541744,1.99443413729128,28.992578849721703,26.727272727272727,3.353881944334638,0.0998595593945739,6.855287569573284,3.220880091160867
CDMS-11-6B-JDCHBA,30.93601462522852,49.0,1.4680073126142597,2.069469835466179,1.8592321755027423,30.93601462522852,28.654478976234003,3.21623741104059,0.0909427917896885,7.83180987202925,3.5531700015221137
CDMS-11-6B-JFSAHE,35.81049562682216,48.85714285714285,0.0,0.9883381924198252,1.1253644314868805,35.79300291545189,32.886297376093296,2.737325579724653,0.0733428565055556,8.527696793002915,3.8074999442930832
CDMS-11-6B-JLPENA,32.30034129692833,47.829351535836174,0.5017064846416383,1.0204778156996588,2.2354948805460757,31.774744027303758,27.79522184300341,2.9819264134938046,0.0869211263433035,8.368600682593856,3.6028099468910204
CDMS-11-6B-JMARME,32.98556998556999,48.71717171717172,0.2121212121212121,1.2222222222222223,1.6825396825396826,32.910533910533914,30.554112554112557,2.977542445426041,0.084030745244485,8.01010101010101,3.6235745648351463
CDMS-11-6B-JPSAMA,35.67169811320755,48.81509433962264,0.3698113207547169,0.909433962264151,0.8415094339622642,35.660377358490564,32.716981132075475,2.7514416268977078,0.0730206469098939,9.271698113207549,4.031618864606433
CDMS-11-6B-LESTA,31.46987951807229,49.0,0.393574297188755,0.7791164658634538,2.1004016064257027,31.46987951807229,29.73895582329317,3.135046727660065,0.092153025822174,7.381526104417671,3.389299936480286
CDMS-11-6B-MAGIMU,29.97482014388489,49.0,0.1762589928057553,1.3129496402877698,2.83453237410072,29.97482014388489,28.514388489208635,3.29821568471628,0.1002656299079418,6.64748201438849,3.118392155996992
CDMS-11-6B-MEBRTA,30.91304347826087,49.0,1.2681159420289856,2.6594202898550723,1.420289855072464,30.91304347826087,29.07971014492753,3.200139239918585,0.0908791165914117,7.8478260869565215,3.4762151648607555
CDMS-11-6B-MMAMO,34.71976401179941,49.0,0.6843657817109144,0.7168141592920354,1.0058997050147491,34.71976401179941,32.525073746312685,2.831215130409474,0.077696338870253,8.14749262536873,3.665749261439886
CDMS-11-6B-RSECA,31.90721649484536,49.0,0.2268041237113402,1.3058419243986257,1.5189003436426116,31.90721649484536,30.27147766323024,3.10232910980382,0.0911542003065979,6.993127147766323,3.2727592938275114
CDMS-11-6B-SCAPA,34.701388888888886,49.0,0.0,0.0763888888888889,1.3402777777777777,34.701388888888886,32.31944444444444,2.8475582071204686,0.0794544816285879,8.625,3.7685276920909954
CDMS-11-6B-VZAPE,31.194444444444443,49.0,0.9074074074074074,1.3564814814814814,1.1712962962962965,31.194444444444443,29.425925925925927,3.1660171581694647,0.0896054565393678,7.518518518518518,3.503460363792284
CDMS-11-6B-YLNIME,33.487719298245615,49.0,0.0,0.7263157894736842,0.968421052631579,33.487719298245615,31.67719298245614,2.9452052661078505,0.0838056694172346,8.08421052631579,3.583810617521362
CDMS-11-7C-ICARE,32.26229508196721,49.0,0.2827868852459016,0.8975409836065574,2.1598360655737703,32.26229508196721,29.84426229508197,3.0622755356676645,0.0868487524246248,8.397540983606557,3.705915706923296
CDMS-11-7C-IMOIB,35.333333333333336,49.0,0.6430446194225722,1.1496062992125984,0.984251968503937,35.333333333333336,32.93963254593176,2.7902859305351506,0.0755932916510684,8.67979002624672,3.8531861626299153
CDMS-11-7C-SALMA,32.951951951951955,49.0,0.0,0.7297297297297297,1.3453453453453454,32.951951951951955,31.12912912912913,2.989314154870497,0.0828632820654718,7.978978978978979,3.6375063832217456
CDMS-11-7C-SPGAVE,33.205607476635514,48.54205607476636,1.911214953271028,1.2850467289719627,1.6121495327102804,33.191588785046726,28.60280373831776,2.9462635958940195,0.0796521333613021,9.728971962616823,4.136633741710115
CDMS-12-5A-SRIGO,34.53258426966292,49.0,0.550561797752809,0.6584269662921348,0.7370786516853932,34.53258426966292,32.21123595505618,2.8505078672045934,0.0781974789160352,8.249438202247191,3.691908217720503
CDMS-12-6A-FAROPA,34.90415335463259,49.0,0.6261980830670927,0.5527156549520766,0.7859424920127795,34.90415335463259,33.0702875399361,2.819083086632915,0.0775160399522463,7.81150159744409,3.622638329525545
CDMS-12-6A-JGIGA,30.69736842105263,49.0,0.4605263157894737,1.763157894736842,1.3903508771929824,30.69736842105263,29.18421052631579,3.219491515841017,0.0965956722717421,6.789473684210527,3.1329072881292377
CDMS-12-6A-JSOTGU,31.03238095238095,49.0,0.56,0.5371428571428571,1.9714285714285715,31.03238095238095,29.34095238095238,3.184492659452805,0.0948606162944591,7.386666666666667,3.35170671889886
CDMS-12-6A-SROAL,34.475935828877006,49.0,0.393048128342246,0.6256684491978609,1.299465240641711,34.475935828877006,32.1524064171123,2.876758965336899,0.0802667947160073,7.983957219251337,3.6689514991748
