subject,lsc_T6W50,diameter_T6W50,asp_T6W50,z_re_T6W50,z_pe_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_lsc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-10-4A-JURAN,33.04545454545455,8.420454545454545,3.815346821962532,2.6825457876585728,0.1887203264334624,-0.8161059532224157,-0.1105617184107653,1.0203607842397775,0.1164567095214291,-0.5818270696248181,-0.1295681614168583,0.0605542274862037
CDMS-10-5A-HEPIHO,33.27123695976155,8.66467958271237,3.8633937285253,3.014676089269394,-0.1376713916950455,-1.0134583972199207,-0.3981657464786182,0.2723188093761823,0.0843080723947771,-0.4180076165317765,-0.1327312841033001,-0.0539798097229489
CDMS-10-5A-KSRAGU,32.31010452961672,7.808362369337979,3.655749221119544,3.49820019136199,-0.3127979609972082,-0.3001953250736845,-0.679126049289564,-0.9605005943528264,0.0617732616285462,-0.9554242680218802,-0.0522107777793431,0.4481300802433113
CDMS-10-5A-SROPU,31.348039215686278,9.352941176470589,3.987662311462388,5.996967676077034,0.4076774429571705,-0.3495343268233682,-0.1067212042857214,-1.0484583069243725,-0.2242662678992723,-2.3822053933319585,1.0775334657717643,1.6727092824527392
CDMS-10-5A-SZURO,32.0260663507109,8.739336492890995,3.870283659010387,4.69470225405807,-0.6766489496672622,-0.6953865614806947,-0.8357360975904035,-0.0025769156648074,-0.0273429914507703,-1.124875588124761,0.4830089412588438,0.8475034702733139
CDMS-10-5B-SRAJA,32.15533980582524,8.245954692556634,3.631557807625571,3.06754994467723,-0.9625500165575336,-1.0015301357420758,-1.0179726747615794,-0.0039260911298046,-0.012156939307585,-0.1858845581819879,0.0622678074686571,0.0648777289150663
CDMS-10-5C-DAAUSA,30.071844660194174,8.390291262135923,3.7601336972490778,3.998943125551703,0.3334072376913684,-0.9654716374046998,-0.1677980771670937,1.1988732855866466,-0.2299704571848857,-1.4023078519014045,0.4592259658946798,0.9868203721452168
CDMS-10-5C-ICAPA,26.55194805194805,6.8441558441558445,3.1542654769768306,3.517200687291491,-0.3085725259926984,-0.4837480436539013,-0.9238817716301438,0.2043939785750362,-0.191192120866949,-1.2392831273603375,0.2078680153966081,0.4946168716184135
CDMS-10-5C-JFALGI,29.031413612565444,7.031413612565445,3.183400052786409,3.0630783466010763,-0.550821094977834,-1.3398215577451429,-0.9769717188844952,0.4825487575006583,-0.1046895285774555,-0.1302500830877642,0.1270782207794581,0.169516593604722
CDMS-10-5C-MAORTO,28.058679706601467,7.484107579462103,3.3739384640886545,4.381692892764716,0.0996542295422901,-0.4106625152588464,-0.5184875453309714,0.5118125953524995,-0.4400248277805583,-1.9663765853585689,0.725671565194001,1.1421030154392784
CDMS-10-5C-NBEMO,29.523456790123458,7.624691358024691,3.5197902198244457,4.523524661172354,-0.3388327864531489,0.3697190764760801,-0.5000277022750521,0.7489831188278491,-0.2822454554729897,-2.226134348021962,0.6555062426085159,1.57739610667875
CDMS-10-6B-ASCACO,30.315412186379927,6.931899641577061,3.214702712749742,3.960004114907101,-1.2533839965194058,-1.2810719599171598,-1.2657374537133728,0.7667526182352541,0.1237151192955052,-0.397766277174811,-0.1522122493955324,-0.1098906802024595
CDMS-10-6B-JJMOBE,31.73351648351648,8.516483516483516,3.759568803442487,3.9802664148420455,-0.3127996105259363,-1.085672736922304,-0.2706112564716577,0.6680589889340576,-0.1099285631288823,-0.951731820041262,0.3290164569150527,0.5117164749317513
CDMS-11-4A-GACHSA,29.24054054054054,7.608108108108108,3.498758145763427,5.777347631104496,-0.4660436342862875,-0.6291511664764551,-0.7667852665194318,0.9015706824982992,-0.153505729705503,-2.131579463985999,0.9205572081526774,2.0597903254393284
CDMS-11-5A-EAARCA,30.386666666666667,7.377777777777778,3.408952856557633,4.6085923482971785,-0.8952366702694969,-0.9701896761086496,-1.0082009911924936,0.2016571250369312,-0.1468413664106324,-1.005576391419008,0.1882438554793344,0.5280773603262072
CDMS-11-5A-MGTHAR,27.79225352112676,7.862676056338028,3.4668346841816025,4.857756145908933,-0.2094833403591423,-0.6428261217954258,-0.7571099533871497,-0.2022790583595119,-0.6025801753453035,-1.8771559367247408,1.3796117956124276,1.935005712511649
CDMS-11-6A-DFVEBE,30.7196261682243,8.417445482866043,3.633392452309935,2.1874087202289165,-0.9259132924622316,0.7355794833819685,-0.9355882194024464,-0.5211553181421513,-0.0685677787193743,-0.752666468198221,0.4447681881158764,0.5623542335198572
CDMS-11-6A-NMREPR,31.478835978835978,8.423280423280424,3.7291830233836927,5.378543549153235,-0.8857243063046981,-1.0357360216969038,-0.9341460969612564,-0.6119652566827725,-0.0525354898156715,-1.1302621321830757,0.4636658199368041,0.7468676795909712
CDMS-11-6B-ARAHE,30.18639053254438,7.849112426035503,3.537711382612835,5.240364207823662,-1.0964855148653556,0.2679213429267029,-1.1108271603136612,-0.2131771556065609,-0.2530925275531288,-1.7921326336539531,0.6029901246555043,1.174294672110533
