r2,rmse,rho,p_rho
0.10540527458135707,1.919372496151005,0.4045413796212183,0.004346097294516145
0.12972722382726443,1.9543619208445004,0.46653884652662025,0.0008305042572304233
0.05037808078397632,2.2504777794545747,0.3152255882562814,0.029083478079341942
-0.05389593604265608,2.404440222706177,0.08251108285736782,0.5771605519216467
-0.14560035431075002,2.184682491176263,-0.17142966153874373,0.24400234973393758
0.09005221630962601,2.2870548716114913,0.3653112718882629,0.010675298354272767
0.029178768952813905,1.9176126383136236,0.29029850068813484,0.045331636516130536
-0.06942856808751952,2.1920314708314415,0.179141286738376,0.22311154173486009
0.07677175115067081,2.011251896032484,0.4666707192425339,0.0008273047527933036
-0.06919510425991393,2.0226606900304684,0.036513689198768566,0.8053818641650067
0.016619871188623625,2.1608675004927913,0.11697548173661985,0.42848254273275466
0.033518204394985984,1.9962613774470133,0.18367356458765452,0.21142818641423855
0.06700467648342368,2.0250646896016287,0.4314961744670397,0.002197770633103118
0.07976489315185653,2.148662940198065,0.33375257124736935,0.020434941370536565
0.008707556236939862,2.2631123759347753,0.13911594018108903,0.345673918781954
0.008448014097841572,1.8348610095466145,0.19774742891188088,0.17789383609954948
0.09267510130604706,2.2827214679277423,0.380820550490539,0.007578385919693522
0.09644435501710824,2.133976968899614,0.42795648477102316,0.0024112841579843965
0.03219075064439714,2.064942965041726,0.22983653680964977,0.11606651001876946
-0.0904419803110077,2.0259078097659327,0.05887596059607672,0.6910006282134311
-0.11287860955155793,2.6062834635244743,0.0917301967146591,0.5352033416472386
-0.06373140306363889,1.8468779500157588,0.17903890485468513,0.22338051969484582
-0.15713303317314553,2.0003123535700156,-0.06928181307699925,0.6398498187457664
0.09477344648988884,1.742379935058872,0.34337660138426757,0.01687474186913746
-0.07845537982927464,2.4583278079895323,0.17667329596343181,0.22965799705663997
0.0722043388703647,2.2025429520370357,0.44850335690773674,0.001388128251279641
0.06788708254477593,2.4213478727208213,0.42610637370064136,0.0025300249661174934
0.0159006650571909,2.319777168505852,0.1716458039962959,0.24339932202493936
-0.001281711900220639,1.8774747516914883,0.15393865889051342,0.2961857452292497
0.12758759112045448,2.1482553523214447,0.4109200004875181,0.003716843444735926
0.03475397978242223,2.1497364228999682,0.23081454616734867,0.1144797929554873
0.035950682639318776,2.231422814326917,0.2899378359385251,0.045612183138131875
0.0027138215509476815,2.4461637456830876,0.1556711315821159,0.290717244127694
0.07391499053077022,2.6084770194960893,0.28177950562822895,0.052345375211835694
0.029375007370532003,2.1883028577485657,0.2359117840489114,0.10647593737060015
0.1057126012334133,1.8810462614800874,0.3528642419724761,0.01389470870577616
0.13827776081233645,1.956624791077148,0.3226633504578935,0.025302674876542825
0.044623811191210616,2.4637785763440023,0.2640939558552071,0.069705615769013
0.044296944229836654,1.9308644285708059,0.2484668976471368,0.0885920404078497
-0.18047082170314122,2.375629129123624,0.4533100601688384,0.0012138214528498656
0.02370048683331727,2.5588371583710794,0.24752529116326336,0.08984622862876661
-0.36607661026932914,2.051032255127054,-0.05259937147267563,0.7225453164424214
-0.05800696575392905,2.1135610996780163,0.2476602539696347,0.08966561904663028
-0.01748916321894467,2.0912552699007545,0.1477004503113285,0.31642417594655675
0.03829451595964428,2.539886522768935,0.31167893503960126,0.03104542858493491
0.04970670401886912,2.0854044406094583,0.25857119663147676,0.07597604749803408
-0.050357215430062,2.0620455884431337,0.3526685206982063,0.013951312063519815
-0.03913167836055864,1.8955771440339098,0.06058755330502304,0.6824851883168878
0.015294574173980058,1.6886511764189733,0.3845310412962537,0.006965174036807527
0.05476245401929292,2.1420412199071586,0.27526079837511563,0.058284362919613746
0.0646196178259566,2.254434962125431,0.38274948302263206,0.007254003420935338
0.021580779890851276,1.9523724572107715,0.23463782425436014,0.10843493632919834
0.10070744286847444,2.2944734715269224,0.371202071508627,0.009390328345747182
0.13696036020456281,1.947666253089523,0.41209818191270875,0.003609815611920761
0.03655596768741631,1.9984644661565112,0.2197850211340774,0.13335603350484382
-0.007651701909350717,2.1841705579526254,0.38978926873067676,0.006170144480077117
0.032718520454876554,2.219610373331752,0.220497073904401,0.13207120333454947
0.03286966838947181,2.562157095625413,0.19992394234499622,0.1730709081699018
0.05780269036860208,2.3274934136482557,0.35903396543080107,0.012208155686829827
-0.11184146952750895,1.4476884565596506,0.25381650964102,0.08172355785148865
0.049605742234083205,2.1592728705877633,0.25969289727484673,0.07466775780061463
0.0323391427755233,2.3757668955766564,0.18405687336243476,0.21046008926531365
-0.015840739666266312,2.4050379941560367,0.0720780008037984,0.6263704420786342
-0.005867000384085719,2.2347197788958186,0.046012891094877675,0.7561442170982715
0.017572646995915653,2.408741404327065,0.32447988890682483,0.02444457307516093
0.008299335920040951,2.188457458043772,0.18727688009783608,0.20244985447655783
0.04363191206807904,2.46909527362758,0.2181757145967895,0.13629429618969952
0.11560491883851387,2.037488582402556,0.3832114646530444,0.007178125774532155
0.016849969594673997,2.067358619097443,0.3354945445519744,0.019747257874078567
0.06960038047633343,2.2397872458857977,0.3343785531099848,0.02018553222830908
-0.011095874193941091,2.2224279047225775,0.18701182022726487,0.2031009968666391
0.13620899724840874,2.387728117632771,0.5943946725595861,8.412899557472248e-06
-0.02749535589584906,2.665531660321377,0.34804470097990914,0.015346945434837705
0.039805151385060134,2.292247715290382,0.33605649293951123,0.019529627052229576
0.09725887200989836,2.2175812549119933,0.33545415462887096,0.01976297859662255
0.062346731493506,1.74742028033125,0.22399928707035646,0.1258864388809359
-0.06439852920323541,2.1160094272672203,0.08044691784299504,0.586755857263351
0.057710811621014324,2.034321854273274,0.2540881531380211,0.08138626619056434
0.1390476609975836,1.8845233875929923,0.4323953880761278,0.002146272845033468
0.11225111102056184,1.8037566434752885,0.34237695431152926,0.017218169506145846
0.05909674433569623,1.776383392896419,0.3187370128193077,0.02724376139068127
-0.10231696473413643,2.211572538901928,0.14200070228719872,0.33566438570703583
0.06660602419761519,2.0667786092897944,0.36813927127937884,0.01004070832804449
0.03530013362725526,2.0810290087350403,0.32819341596100904,0.02276607104987655
-0.025550111928421382,2.157759553193372,0.1855126603796917,0.20681157530644395
-0.11283768683524009,2.076129578473747,0.14476819304536012,0.32623321745020223
-0.015827370408788566,2.0976546464849766,0.18875139622764478,0.19885442275788948
-0.00791596605595446,2.3655012096832455,0.15363628697759632,0.2971469507271799
0.1487974319931208,1.6711190803511107,0.4431227102485576,0.0016094224218562948
-0.042109393137340856,2.5855481794521227,0.2002268944005459,0.17240716563392813
0.023564961490815772,2.19561476646273,0.2741350722571917,0.059362739812863656
-0.1464975247190634,2.3155489312036943,0.15678932249373878,0.28722280819211815
